Additional pins for port X1 starting here,,,,
Description,Pin,Port,X1 pin,Duplicate
PWM42-2 / PWM12,36,P3.4,1,
I2C_1 SDA // SPI_4 MOSI,37,P0.5,3,
PWM80-2 / PWM10,38,P0.3,5,
PWM80-1 / PWM9,39,P0.1,7,
,40,P0.10,9,
,41,P3.2,11,
,42,P3.1,13,
A6 / ADC Input,43,P15.6 (INPUT ONLY),15,
A7 / ADC Input,44,P15.5 (INPUT ONLY),17,
A8 / ADC Input,45,P15.3 (INPUT ONLY),19,
A9 / ADC Input,46,P14.15 (INPUT ONLY),21,
A10 / ADC Input,47,P14.13 (INPUT ONLY),23,
A11 / ADC Input,48,P14.7 (INPUT ONLY),25,
A12 / ADC Input,49,P15.15 (INPUT ONLY),27,
DAC0 // A13 / ADC Input,50,P14.9,29
,51,P2.13,31
,52,P5.10,33
PWM80-0 / PWM6,53,P5.11,34
,54,P1.14,32
DAC1 // A14 / ADC Input,55,P14.8,30
A15 / ADC Input,56,P15.14 (INPUT ONLY),28
A16 / ADC Input,57,P14.6 (INPUT ONLY),26
A17 / ADC Input,58,P14.12 (INPUT ONLY),24
A18 / ADC Input,59,P14.14 (INPUT ONLY),22
A19 / ADC Input,60,P15.2 (INPUT ONLY),20
A20 / ADC Input,61,P15.4 (INPUT ONLY),18
A21 / ADC Input,62,P15.7 (INPUT ONLY),16
PWM42-0 / PWM7,63,P3.0,14
PWM80-1 / PWM8,64,P0.9,12
,65,P0.0,10
,66,P0.2,8
SPI_4 MISO ,67,P0.4,6
PWM80-3 / PWM11,68,P0.6,4
I2C_1 SCL // SPI_4 SCLK ,69,P0.11,2
Additional pins for port X2 starting here,,,
Description,Pin,Port,X2 pin
SPI_2 SCLK,70,P3.13,1
SPI_2 MOSI,71,P3.11,3
PWM40-1 / PWM21,72,P0.14,5
,73,P3.14,7
,74,P0.7,9
,75,P1.2,11
,76,P6.1,13
,77,P5.3,15
PWM43-0 / PWM17,78,P6.5,17
PWM81-0 / PWM16,79,P1.15,19
SPI_3 MOSI,80,P5.1,21
PWM81-2 / PWM15,81,P5.3,23
PWM81-1 / PWM14,82,P5.5,25
PWM81-0 / PWM13,83,P5.7,27
,84,P2.6,28
,85,P5.6,26
,86,P5.4,24
,87,P5.2,22
SPI_3 MISO,88,P5.0,20
,89,P6.6,18
PWM43-1 / PWM18,90,P6.4,16
PWM43-3 / PWM19,91,P6.2,14
,92,P6.0,12
SPI_3 SCLK,93,P0.8,10
,94,P3.3,8
PWM40-0 / PWM20,95,P0.15,6
PWM40-3 / PWM22,96,P0.12,4
ECAT0.P1_LINK_ACT,97,P3.12,2
